                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.80284,                 1.2219,                 2.1849,                 1.0197,                0.97885,                0.60978,                0.80359,                0.71648,                 0.9774,                0.60888,                0.80279,                0.60931,                0.77289,                 1.1118,                 1.4121,                0.98991,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                0.74118,                 1.1337,                0.99611,                 1.0264,                0.92044,                0.54844,                0.73435,                0.67619,                0.91824,                0.54693,                0.73303,                0.58716,                0.76881,                0.95118,                0.62943,                0.97954,             1.7418e-05,             1.7418e-05,             1.7418e-05
                      2,                0.74007,                0.98174,                0.69535,                0.99604,                0.99492,                0.67849,                0.83629,                0.74024,                0.95451,                0.67148,                0.81431,                0.64044,                 0.7526,                0.91319,                0.54655,                0.96537,             2.4783e-05,             2.4783e-05,             2.4783e-05
                      3,                0.77229,                0.88805,                0.65244,                 1.0112,                0.98833,                0.73051,                0.86031,                 0.7595,                0.95458,                0.72106,                0.83978,                 0.6501,                0.73517,                0.88475,                0.48752,                0.95727,             2.9363e-05,             2.9363e-05,             2.9363e-05
                      4,                0.75377,                0.87113,                0.56701,                 0.9828,                0.96871,                0.75861,                0.86819,                0.77939,                0.94792,                0.75191,                0.85507,                0.65031,                0.71493,                0.87976,                0.45721,                0.95104,             3.0536e-05,             3.0536e-05,             3.0536e-05
                      5,                0.75459,                0.86284,                0.53725,                0.99522,                0.99617,                0.78333,                0.88896,                0.79691,                0.95323,                 0.7635,                0.86477,                0.67104,                0.69859,                0.86899,                0.43879,                 0.9426,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      6,                0.74435,                0.87956,                0.50749,                0.96641,                0.99623,                 0.8024,                0.89807,                0.79769,                0.96011,                0.78287,                0.87621,                0.68197,                0.69068,                0.85353,                0.42905,                0.93515,             2.3041e-05,             2.3041e-05,             2.3041e-05
                      7,                0.69151,                0.89371,                0.48802,                0.98007,                0.98155,                0.78927,                0.88904,                0.80125,                0.96079,                0.78257,                0.87613,                0.67466,                0.68404,                 0.8307,                0.41723,                0.92872,             1.6047e-05,             1.6047e-05,             1.6047e-05
                      8,                0.69115,                0.80347,                0.49976,                0.96396,                0.98192,                0.80042,                0.89433,                0.80369,                0.96115,                0.79371,                0.88139,                0.67539,                0.67622,                0.81391,                0.40519,                0.92397,             8.8323e-06,             8.8323e-06,             8.8323e-06
                      9,                0.69328,                0.86267,                0.45845,                0.93991,                0.98194,                0.80072,                 0.8945,                 0.8051,                0.96117,                0.79402,                0.88153,                0.67956,                 0.6731,                0.80996,                0.40247,                0.92224,             3.2177e-06,             3.2177e-06,             3.2177e-06
